Id,Nombre,Descripcion,Estado
1.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
2.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
3.0,formal,opciones resistentes y cómodas para niños,inactivo
4.0,casual,opciones resistentes y cómodas para niños,inactivo
5.0,mujer,opciones resistentes y cómodas para niños,activo
6.0,casual,modelos pensados para hombres con ajuste masculino,activo
7.0,formal,estilo urbano cómodo para el uso diario,inactivo
9.0,formal,calzado elegante y formal para ocasiones especiales,activo
10.0,formal,diseños femeninos con estilo y confort,inactivo
11.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
12.0,deportivo,calzado elegante y formal para ocasiones especiales,inactivo
13.0,niños,estilo urbano cómodo para el uso diario,inactivo
14.0,mujer,calzado elegante y formal para ocasiones especiales,inactivo
15.0,casual,diseños femeninos con estilo y confort,activo
16.0,mujer,calzado elegante y formal para ocasiones especiales,activo
17.0,mujer,opciones resistentes y cómodas para niños,inactivo
18.0,casual,opciones resistentes y cómodas para niños,inactivo
20.0,niños,calzado elegante y formal para ocasiones especiales,activo
23.0,casual,diseños femeninos con estilo y confort,activo
24.0,deportivo,opciones resistentes y cómodas para niños,activo
25.0,niños,opciones resistentes y cómodas para niños,activo
26.0,deportivo,calzado y ropa diseñada para actividad física y deporte,inactivo
27.0,hombre,diseños femeninos con estilo y confort,inactivo
28.0,casual,diseños femeninos con estilo y confort,activo
29.0,formal,diseños femeninos con estilo y confort,inactivo
30.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
31.0,niños,diseños femeninos con estilo y confort,inactivo
33.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
34.0,deportivo,diseños femeninos con estilo y confort,activo
35.0,formal,diseños femeninos con estilo y confort,inactivo
36.0,casual,modelos pensados para hombres con ajuste masculino,activo
37.0,niños,modelos pensados para hombres con ajuste masculino,activo
38.0,casual,diseños femeninos con estilo y confort,activo
39.0,deportivo,estilo urbano cómodo para el uso diario,inactivo
40.0,hombre,opciones resistentes y cómodas para niños,inactivo
41.0,mujer,calzado elegante y formal para ocasiones especiales,activo
42.0,hombre,estilo urbano cómodo para el uso diario,activo
43.0,deportivo,calzado y ropa diseñada para actividad física y deporte,inactivo
44.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
45.0,formal,diseños femeninos con estilo y confort,activo
47.0,niños,diseños femeninos con estilo y confort,inactivo
48.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
49.0,mujer,opciones resistentes y cómodas para niños,activo
53.0,casual,calzado y ropa diseñada para actividad física y deporte,inactivo
54.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
55.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
56.0,niños,opciones resistentes y cómodas para niños,inactivo
57.0,hombre,estilo urbano cómodo para el uso diario,inactivo
58.0,deportivo,diseños femeninos con estilo y confort,activo
60.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
61.0,mujer,calzado elegante y formal para ocasiones especiales,activo
63.0,mujer,opciones resistentes y cómodas para niños,inactivo
64.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
65.0,mujer,opciones resistentes y cómodas para niños,inactivo
66.0,casual,diseños femeninos con estilo y confort,inactivo
67.0,deportivo,opciones resistentes y cómodas para niños,activo
68.0,niños,opciones resistentes y cómodas para niños,activo
69.0,hombre,opciones resistentes y cómodas para niños,inactivo
70.0,hombre,estilo urbano cómodo para el uso diario,inactivo
71.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
72.0,mujer,calzado elegante y formal para ocasiones especiales,activo
73.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
74.0,niños,calzado elegante y formal para ocasiones especiales,activo
75.0,hombre,calzado elegante y formal para ocasiones especiales,activo
76.0,mujer,diseños femeninos con estilo y confort,inactivo
77.0,deportivo,opciones resistentes y cómodas para niños,activo
78.0,niños,diseños femeninos con estilo y confort,activo
79.0,mujer,calzado elegante y formal para ocasiones especiales,activo
80.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
82.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
83.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
84.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
85.0,casual,calzado y ropa diseñada para actividad física y deporte,inactivo
86.0,mujer,diseños femeninos con estilo y confort,activo
87.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
89.0,hombre,calzado elegante y formal para ocasiones especiales,inactivo
90.0,hombre,opciones resistentes y cómodas para niños,inactivo
91.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
92.0,formal,calzado elegante y formal para ocasiones especiales,activo
93.0,formal,calzado elegante y formal para ocasiones especiales,activo
94.0,deportivo,opciones resistentes y cómodas para niños,activo
96.0,mujer,calzado elegante y formal para ocasiones especiales,activo
97.0,deportivo,diseños femeninos con estilo y confort,inactivo
101.0,casual,diseños femeninos con estilo y confort,activo
102.0,casual,opciones resistentes y cómodas para niños,inactivo
103.0,casual,estilo urbano cómodo para el uso diario,inactivo
104.0,deportivo,opciones resistentes y cómodas para niños,activo
107.0,mujer,opciones resistentes y cómodas para niños,activo
110.0,formal,calzado elegante y formal para ocasiones especiales,inactivo
111.0,casual,opciones resistentes y cómodas para niños,inactivo
112.0,mujer,diseños femeninos con estilo y confort,inactivo
113.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
114.0,formal,calzado elegante y formal para ocasiones especiales,activo
115.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
116.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
117.0,deportivo,calzado y ropa diseñada para actividad física y deporte,inactivo
118.0,casual,estilo urbano cómodo para el uso diario,inactivo
119.0,deportivo,diseños femeninos con estilo y confort,activo
120.0,deportivo,diseños femeninos con estilo y confort,inactivo
121.0,formal,opciones resistentes y cómodas para niños,inactivo
122.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
123.0,formal,calzado elegante y formal para ocasiones especiales,inactivo
124.0,formal,diseños femeninos con estilo y confort,inactivo
125.0,deportivo,opciones resistentes y cómodas para niños,inactivo
126.0,casual,diseños femeninos con estilo y confort,inactivo
127.0,casual,estilo urbano cómodo para el uso diario,activo
128.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
129.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
130.0,hombre,modelos pensados para hombres con ajuste masculino,activo
131.0,hombre,calzado elegante y formal para ocasiones especiales,activo
134.0,mujer,diseños femeninos con estilo y confort,activo
135.0,niños,calzado elegante y formal para ocasiones especiales,activo
136.0,formal,calzado elegante y formal para ocasiones especiales,activo
137.0,mujer,calzado elegante y formal para ocasiones especiales,activo
139.0,casual,diseños femeninos con estilo y confort,activo
140.0,formal,diseños femeninos con estilo y confort,inactivo
142.0,casual,opciones resistentes y cómodas para niños,activo
143.0,deportivo,opciones resistentes y cómodas para niños,inactivo
144.0,casual,opciones resistentes y cómodas para niños,inactivo
145.0,mujer,modelos pensados para hombres con ajuste masculino,activo
147.0,hombre,calzado elegante y formal para ocasiones especiales,activo
148.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
149.0,formal,calzado elegante y formal para ocasiones especiales,inactivo
150.0,deportivo,estilo urbano cómodo para el uso diario,activo
151.0,formal,opciones resistentes y cómodas para niños,activo
152.0,niños,estilo urbano cómodo para el uso diario,activo
153.0,deportivo,calzado elegante y formal para ocasiones especiales,inactivo
154.0,deportivo,opciones resistentes y cómodas para niños,activo
156.0,formal,estilo urbano cómodo para el uso diario,inactivo
157.0,casual,diseños femeninos con estilo y confort,activo
158.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
160.0,mujer,modelos pensados para hombres con ajuste masculino,activo
163.0,niños,modelos pensados para hombres con ajuste masculino,activo
164.0,casual,calzado y ropa diseñada para actividad física y deporte,inactivo
165.0,niños,diseños femeninos con estilo y confort,activo
167.0,casual,estilo urbano cómodo para el uso diario,activo
170.0,mujer,estilo urbano cómodo para el uso diario,inactivo
171.0,formal,modelos pensados para hombres con ajuste masculino,activo
172.0,hombre,diseños femeninos con estilo y confort,inactivo
173.0,niños,calzado y ropa diseñada para actividad física y deporte,inactivo
175.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
179.0,formal,opciones resistentes y cómodas para niños,inactivo
180.0,formal,opciones resistentes y cómodas para niños,activo
183.0,casual,diseños femeninos con estilo y confort,activo
184.0,deportivo,calzado y ropa diseñada para actividad física y deporte,activo
185.0,hombre,calzado elegante y formal para ocasiones especiales,inactivo
186.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
187.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
188.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
189.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
190.0,deportivo,diseños femeninos con estilo y confort,inactivo
191.0,deportivo,diseños femeninos con estilo y confort,inactivo
192.0,casual,estilo urbano cómodo para el uso diario,activo
193.0,casual,diseños femeninos con estilo y confort,activo
194.0,casual,diseños femeninos con estilo y confort,inactivo
195.0,niños,diseños femeninos con estilo y confort,activo
196.0,casual,opciones resistentes y cómodas para niños,inactivo
197.0,casual,calzado elegante y formal para ocasiones especiales,activo
200.0,niños,opciones resistentes y cómodas para niños,activo
201.0,mujer,calzado elegante y formal para ocasiones especiales,inactivo
203.0,casual,estilo urbano cómodo para el uso diario,inactivo
204.0,mujer,calzado elegante y formal para ocasiones especiales,activo
205.0,hombre,opciones resistentes y cómodas para niños,inactivo
206.0,formal,diseños femeninos con estilo y confort,inactivo
207.0,deportivo,estilo urbano cómodo para el uso diario,inactivo
208.0,hombre,opciones resistentes y cómodas para niños,inactivo
209.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
211.0,casual,estilo urbano cómodo para el uso diario,activo
212.0,formal,modelos pensados para hombres con ajuste masculino,activo
213.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
215.0,casual,modelos pensados para hombres con ajuste masculino,inactivo
216.0,casual,calzado elegante y formal para ocasiones especiales,activo
217.0,deportivo,opciones resistentes y cómodas para niños,activo
218.0,mujer,calzado y ropa diseñada para actividad física y deporte,activo
219.0,mujer,calzado elegante y formal para ocasiones especiales,activo
221.0,niños,opciones resistentes y cómodas para niños,inactivo
222.0,casual,diseños femeninos con estilo y confort,inactivo
223.0,formal,diseños femeninos con estilo y confort,inactivo
224.0,formal,opciones resistentes y cómodas para niños,inactivo
225.0,mujer,estilo urbano cómodo para el uso diario,inactivo
226.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
227.0,formal,diseños femeninos con estilo y confort,inactivo
228.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
229.0,mujer,diseños femeninos con estilo y confort,activo
230.0,deportivo,opciones resistentes y cómodas para niños,activo
231.0,hombre,opciones resistentes y cómodas para niños,activo
232.0,formal,diseños femeninos con estilo y confort,activo
233.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
234.0,formal,calzado y ropa diseñada para actividad física y deporte,activo
235.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
236.0,mujer,modelos pensados para hombres con ajuste masculino,activo
239.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
240.0,formal,estilo urbano cómodo para el uso diario,inactivo
241.0,hombre,estilo urbano cómodo para el uso diario,activo
243.0,casual,opciones resistentes y cómodas para niños,inactivo
244.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
245.0,hombre,calzado elegante y formal para ocasiones especiales,activo
246.0,casual,opciones resistentes y cómodas para niños,inactivo
247.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
248.0,mujer,calzado elegante y formal para ocasiones especiales,inactivo
249.0,hombre,calzado y ropa diseñada para actividad física y deporte,activo
251.0,niños,estilo urbano cómodo para el uso diario,inactivo
252.0,niños,estilo urbano cómodo para el uso diario,activo
253.0,formal,estilo urbano cómodo para el uso diario,inactivo
254.0,casual,opciones resistentes y cómodas para niños,activo
255.0,formal,diseños femeninos con estilo y confort,inactivo
256.0,mujer,modelos pensados para hombres con ajuste masculino,inactivo
257.0,niños,estilo urbano cómodo para el uso diario,inactivo
258.0,formal,diseños femeninos con estilo y confort,activo
259.0,casual,estilo urbano cómodo para el uso diario,activo
260.0,hombre,opciones resistentes y cómodas para niños,activo
261.0,niños,calzado elegante y formal para ocasiones especiales,activo
262.0,formal,estilo urbano cómodo para el uso diario,activo
263.0,niños,diseños femeninos con estilo y confort,activo
264.0,mujer,calzado elegante y formal para ocasiones especiales,activo
268.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
269.0,formal,opciones resistentes y cómodas para niños,activo
270.0,formal,calzado elegante y formal para ocasiones especiales,inactivo
271.0,deportivo,modelos pensados para hombres con ajuste masculino,inactivo
272.0,niños,calzado y ropa diseñada para actividad física y deporte,inactivo
273.0,hombre,calzado y ropa diseñada para actividad física y deporte,activo
275.0,formal,opciones resistentes y cómodas para niños,inactivo
276.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
277.0,mujer,opciones resistentes y cómodas para niños,inactivo
278.0,niños,diseños femeninos con estilo y confort,inactivo
280.0,mujer,estilo urbano cómodo para el uso diario,activo
282.0,casual,opciones resistentes y cómodas para niños,inactivo
283.0,mujer,diseños femeninos con estilo y confort,inactivo
284.0,formal,calzado elegante y formal para ocasiones especiales,activo
285.0,hombre,calzado elegante y formal para ocasiones especiales,inactivo
286.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
287.0,mujer,modelos pensados para hombres con ajuste masculino,activo
288.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
289.0,niños,diseños femeninos con estilo y confort,inactivo
290.0,hombre,opciones resistentes y cómodas para niños,inactivo
291.0,hombre,calzado elegante y formal para ocasiones especiales,activo
292.0,deportivo,estilo urbano cómodo para el uso diario,activo
293.0,deportivo,opciones resistentes y cómodas para niños,activo
295.0,formal,calzado elegante y formal para ocasiones especiales,activo
296.0,hombre,opciones resistentes y cómodas para niños,inactivo
297.0,casual,calzado elegante y formal para ocasiones especiales,activo
298.0,deportivo,calzado y ropa diseñada para actividad física y deporte,inactivo
299.0,deportivo,calzado elegante y formal para ocasiones especiales,inactivo
300.0,niños,estilo urbano cómodo para el uso diario,activo
301.0,niños,estilo urbano cómodo para el uso diario,inactivo
302.0,casual,calzado elegante y formal para ocasiones especiales,activo
303.0,mujer,opciones resistentes y cómodas para niños,inactivo
304.0,niños,opciones resistentes y cómodas para niños,activo
305.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
306.0,hombre,opciones resistentes y cómodas para niños,inactivo
307.0,niños,modelos pensados para hombres con ajuste masculino,inactivo
309.0,casual,modelos pensados para hombres con ajuste masculino,inactivo
310.0,niños,opciones resistentes y cómodas para niños,inactivo
312.0,mujer,modelos pensados para hombres con ajuste masculino,activo
313.0,hombre,diseños femeninos con estilo y confort,inactivo
314.0,niños,modelos pensados para hombres con ajuste masculino,inactivo
315.0,hombre,calzado y ropa diseñada para actividad física y deporte,activo
316.0,hombre,modelos pensados para hombres con ajuste masculino,activo
317.0,casual,opciones resistentes y cómodas para niños,inactivo
319.0,niños,opciones resistentes y cómodas para niños,activo
321.0,formal,diseños femeninos con estilo y confort,activo
322.0,deportivo,diseños femeninos con estilo y confort,inactivo
323.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
324.0,niños,estilo urbano cómodo para el uso diario,inactivo
327.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
328.0,formal,estilo urbano cómodo para el uso diario,activo
329.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
330.0,niños,diseños femeninos con estilo y confort,activo
332.0,formal,calzado elegante y formal para ocasiones especiales,activo
333.0,casual,opciones resistentes y cómodas para niños,activo
334.0,niños,modelos pensados para hombres con ajuste masculino,inactivo
335.0,casual,estilo urbano cómodo para el uso diario,inactivo
336.0,casual,estilo urbano cómodo para el uso diario,inactivo
337.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
338.0,deportivo,diseños femeninos con estilo y confort,inactivo
339.0,niños,estilo urbano cómodo para el uso diario,inactivo
340.0,formal,opciones resistentes y cómodas para niños,activo
341.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
342.0,casual,modelos pensados para hombres con ajuste masculino,activo
343.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
345.0,formal,modelos pensados para hombres con ajuste masculino,inactivo
348.0,casual,opciones resistentes y cómodas para niños,activo
349.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
350.0,casual,calzado y ropa diseñada para actividad física y deporte,inactivo
351.0,mujer,estilo urbano cómodo para el uso diario,activo
352.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
353.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
354.0,deportivo,diseños femeninos con estilo y confort,inactivo
355.0,deportivo,diseños femeninos con estilo y confort,activo
356.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
357.0,formal,diseños femeninos con estilo y confort,inactivo
359.0,hombre,diseños femeninos con estilo y confort,activo
361.0,niños,diseños femeninos con estilo y confort,inactivo
362.0,niños,calzado elegante y formal para ocasiones especiales,inactivo
364.0,casual,estilo urbano cómodo para el uso diario,activo
365.0,casual,calzado elegante y formal para ocasiones especiales,activo
366.0,formal,estilo urbano cómodo para el uso diario,activo
367.0,mujer,calzado y ropa diseñada para actividad física y deporte,activo
369.0,deportivo,opciones resistentes y cómodas para niños,activo
371.0,deportivo,calzado y ropa diseñada para actividad física y deporte,activo
372.0,hombre,diseños femeninos con estilo y confort,activo
373.0,casual,estilo urbano cómodo para el uso diario,inactivo
374.0,deportivo,calzado elegante y formal para ocasiones especiales,inactivo
375.0,casual,opciones resistentes y cómodas para niños,activo
376.0,niños,modelos pensados para hombres con ajuste masculino,inactivo
378.0,formal,opciones resistentes y cómodas para niños,inactivo
380.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
381.0,deportivo,calzado y ropa diseñada para actividad física y deporte,inactivo
382.0,mujer,diseños femeninos con estilo y confort,activo
385.0,formal,estilo urbano cómodo para el uso diario,activo
387.0,mujer,opciones resistentes y cómodas para niños,activo
388.0,deportivo,opciones resistentes y cómodas para niños,inactivo
389.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
390.0,deportivo,calzado y ropa diseñada para actividad física y deporte,activo
391.0,niños,calzado elegante y formal para ocasiones especiales,activo
392.0,deportivo,diseños femeninos con estilo y confort,activo
393.0,mujer,opciones resistentes y cómodas para niños,inactivo
394.0,deportivo,diseños femeninos con estilo y confort,activo
395.0,deportivo,calzado elegante y formal para ocasiones especiales,activo
396.0,hombre,calzado y ropa diseñada para actividad física y deporte,activo
397.0,hombre,calzado y ropa diseñada para actividad física y deporte,activo
398.0,hombre,opciones resistentes y cómodas para niños,activo
399.0,deportivo,diseños femeninos con estilo y confort,activo
400.0,formal,estilo urbano cómodo para el uso diario,activo
401.0,hombre,estilo urbano cómodo para el uso diario,inactivo
402.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
403.0,deportivo,calzado y ropa diseñada para actividad física y deporte,activo
405.0,mujer,diseños femeninos con estilo y confort,inactivo
406.0,formal,opciones resistentes y cómodas para niños,activo
407.0,mujer,calzado y ropa diseñada para actividad física y deporte,inactivo
409.0,formal,estilo urbano cómodo para el uso diario,activo
410.0,casual,calzado y ropa diseñada para actividad física y deporte,activo
411.0,casual,estilo urbano cómodo para el uso diario,activo
412.0,mujer,diseños femeninos con estilo y confort,inactivo
413.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
414.0,mujer,opciones resistentes y cómodas para niños,activo
415.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
416.0,casual,calzado elegante y formal para ocasiones especiales,activo
417.0,deportivo,opciones resistentes y cómodas para niños,inactivo
418.0,mujer,calzado elegante y formal para ocasiones especiales,activo
419.0,hombre,modelos pensados para hombres con ajuste masculino,activo
420.0,casual,opciones resistentes y cómodas para niños,activo
421.0,hombre,modelos pensados para hombres con ajuste masculino,activo
422.0,formal,diseños femeninos con estilo y confort,activo
423.0,hombre,modelos pensados para hombres con ajuste masculino,inactivo
425.0,casual,diseños femeninos con estilo y confort,inactivo
426.0,formal,opciones resistentes y cómodas para niños,inactivo
427.0,deportivo,modelos pensados para hombres con ajuste masculino,activo
428.0,deportivo,calzado y ropa diseñada para actividad física y deporte,inactivo
429.0,mujer,modelos pensados para hombres con ajuste masculino,activo
430.0,casual,opciones resistentes y cómodas para niños,activo
431.0,niños,modelos pensados para hombres con ajuste masculino,inactivo
432.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
433.0,mujer,calzado y ropa diseñada para actividad física y deporte,activo
434.0,mujer,calzado y ropa diseñada para actividad física y deporte,activo
435.0,hombre,calzado elegante y formal para ocasiones especiales,inactivo
437.0,casual,modelos pensados para hombres con ajuste masculino,activo
439.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
440.0,hombre,calzado y ropa diseñada para actividad física y deporte,inactivo
441.0,casual,calzado elegante y formal para ocasiones especiales,inactivo
442.0,deportivo,estilo urbano cómodo para el uso diario,activo
443.0,hombre,diseños femeninos con estilo y confort,inactivo
444.0,formal,calzado y ropa diseñada para actividad física y deporte,inactivo
445.0,formal,estilo urbano cómodo para el uso diario,activo
446.0,niños,calzado y ropa diseñada para actividad física y deporte,activo
